customer_concern,susan_response,concern_category,resolution_effectiveness
deductible,"Gather information from the homeowner:
Full name
Address
Phone Number  
E-mail
Insurance Company
“Do you happen to know your deductible? If not, no big deal at all”! 

After you have collected all the information:
Ask if they have the app or if they have the login to the website. If not, use the Homeowner Information Sheet to prep the HO. As you are writing or typing the information for the HO to use on the call, explain each part to them",general,high
deductible,"Deductibles. He actually hopped up on the roof with the ladder assist and I inspect some damages, and then made decision on the spot for full replacement |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Kyle | Progressive  | Field Adjuster | N | Y | Really friendly and personable. We had a great conversation about how there should be any bad blood between contractors and adjusters",general,high
deductible,"This payment is a combination of the Depreciation plus their insurance deductible. Once they submit Final Payment, you will receive the remaining 16% of the job. The first 6 weeks, you get 16% of all completed jobs",general,high
other companies,"“Also, if you know anyone else that I can help, have them reach out to me! You have my card - they can call, text, or email me and I can inspect their property to see if they have the same qualifying damage and I can walk them through the same process I have walked you through!
Engage in any conversation that this starts
“Awesome!
If you haven’t already put up a yard sign: “Would you mind if I put up a yard sign next time I’m in your area? This will definitely help other companies already know that you’re working with someone and hopefully eliminate anyone else from knocking your door asking about your roof/siding. ”
“Look out for the communication from one of our Project Coordinators so you can get that Project Meeting scheduled to go over all the next steps and your full scope of work. Congratulations again and have a great day!”",general,high
cost,"As we talked about earlier, your only cost out of this will be your deductible once we finish all the work. “Upon completion of the installation, we will review and inspect all of our work to ensure it is to your satisfaction. Then we will send in a completion form once you sign off on the complete project",financial,high
cost,"When you see the documents, it will have a cost attached, but don’t worry! Read the bold print and you will see that you, as the homeowner, are never responsible for this cost. ”
Schedule a time to meet with the HO to sign or let them know you will be sending it out for eSign. Task the proper people for eSign, if necessary",financial,high
cost,"“This basic/simple agreement backs you as the homeowner by guaranteeing you that your only cost will be your deductible if we get you fully approved. If it is a partial approval or denial, first we will fight and jump through the necessary hoops to turn that into a full approval; but if we are not able to get you fully approved, this contract is null and void and you do not owe us a penny. ”
“What’s in it for us, is we just want to get to do the work",financial,high
cost,"Don’t worry, like we have agreed to from the beginning, we guarantee you that you would not have to cover any of these costs even if the insurance company were to deny our supplement. [Which does not happen. ]
“Once our office has completed your job review, which takes 2 - 3 business days, your job will be assigned to one of our Project Coordinators",financial,high
cost,his dad owns a sports fishing business in Costa Rica. He was cool about me chalking everything up but because I had already sent it to the adjuster he had to do his own test squares. None the less marked 15+ hail each test square in probably 30 seconds each,financial,high
cost,"[Slide 49]
Contingency & Claim Authorization Script
“This basic/simple agreement backs you as the homeowner by guaranteeing you that your only cost will be your deductible if we get you fully approved. If it is a partial approval or denial, first we will fight and jump through the necessary hoops to turn that into a full approval; but if we are not able to get you fully approved, this contract is null and void and you do not owe us a penny. “What’s in it for us, is we just want to get to do the work",financial,high
time,"Congratulations, I am glad we were able to ensure that your insurance company fully approved your roof/siding/gutters/etc replacement!
“So the next steps are, as I mentioned last time we met:
“One of our Project Coordinators will be reaching out to you to schedule a Project Meeting to go over your full scope of work. “Based on the estimate, your insurance company will be sending you [ACV AMOUNT] shortly. This will be used as your down payment",scheduling,high
time,"“At that time, I will also take a video of us removing and replacing that shingle. This Repair Attempt video will demonstrate to the insurance company that your roof is not repairable and therefore would need to be fully replaced. “To get those scheduled, I will need you to sign these 2 documents allowing us to do that",scheduling,high
time,"If they insist on scheduling with you, go ahead and pencil in a time and avoid these times and days [provide your schedule]
Answer any questions that the HO may have
“Thank you, sir/ma’am, looking forward to seeing you on the day of inspection, you have my contact information on my card if you need anything else",scheduling,high
time,"“At the same time our office will be reviewing your entire project along with my photos and the insurance estimate. As I’ve mentioned, insurance companies are always trying to save money. We usually find specific line items that are missing",scheduling,high
time,"Date of loss
Time of storm (usually around 5pm)
Size of hail (usually 1 – 1. 5 inches)
Type of shingle and/or siding
Any interior damage?
Is the house livable?
Was there any personal property damaged?
Did they lose power?
Have you selected a contractor? (yes, we want them to know ASAP that you are working with me)
Do they have an estimate? (always no)
Is your roof steeper than an average staircase?
How high is the roof/is it difficult to access with most ladders?
Things they should do on the call:
Ask for adjuster info, if not available yet, that’s okay too. Always ask for claim number
If Claim Rep wants to schedule the inspection now (only Allstate) – have 3 available times listed out for the HO
See example on next page
Example Customer Info Sheet
Let them know you would like to file a claim for hail and wind damage",scheduling,high
time,"Wait for answer
If yes “It was pretty crazy right?! Wait for answer 
If no: “Oh no worries at all, we get that all the time. If yes move on to next line marked with *
If no “That’s good! It was a pretty bad one!”
*“We’re working with a lot of your neighbors in the area. We’ve been able to help them get fully approved through their insurance company to have their roof (and siding) replaced",scheduling,high
time,"Even if this  damage doesn’t look like a big deal, what happens over time, these hail divots fill with water, freeze…. ,  when water freezes it expands and breaks apart the shingle which will eventually lead to leaks. That is why your insurance company is responsible and your policy covers this type of damage",scheduling,high
time,"Most of the time will deny it and you will need to get the reinspection. Will only buy if there's lots of signs. Wants Hover report, but it wont change his decision if you give it to him or not",scheduling,high
time,"It’s no big deal, it happens every time”  
o “We will supplement their estimate and add on specific line items that they should be including. A lot of times they leave off Virginia building code items like  ice and water shield  
and certain  flashings  that we are required by la w to install with your new roof”  
o “This process can take a couple weeks so it is very important that as soon as you get your 
estimate, you upload it to your portal and/or email it to me”  
o “Like _______ , s aid your mortgage company will likely be on the check. Every mortgage 
company is different",scheduling,high
time,"If you don’t, I wouldn’t want to waste your time, I wouldn’t want to waste mine! I will at least leave giving you peace of mind that you’re in good shape. ”
Pause here – Wait for them to respond/agree. Once they agree to let you do the inspection:, “Alright! It will take me about 10 - 15 minutes",scheduling,high
quality,"“Any questions so far, sir/ma’am?”
Answer any questions
“Great! Again, I am glad that we were able to make this happen for you, now you get to experience the quality that Roof ER always delivers, at only the cost of your deductible after your whole project is complete!” Potentially mention additional work that they may want to add. Answer any additional questions or engage in any conversation the HO starts. “Also, if you know anyone else that I can help, have them reach out to me! You have my card - they can call, text, or email me and I can inspect their property to see if they have the same qualifying damage and I can walk them through the same process I have walked you through!
Engage in any conversation that this starts
“Awesome!
If you haven’t already put up a yard sign: “Would you mind if I put up a yard sign next time I’m in your area? This will definitely help other companies already know that you’re working with someone and hopefully eliminate anyone else from knocking your door asking about your roof/siding",quality_assurance,high
quality,"She was pretty difficult but none the less I'm not worried I know there's fire hail damage there and my photo report is great so just gotta get her when it's dry and show her some quality stuff and I'm sure she will buy. She will try to pull the whole ""wind driven"" thing with hail and you tell her NO hail is not always wind driven and does coke straight down and can most absolutely affect four sides of elevation metals. Don't let her outsmart you because she really is clearly just dumb and probably shouldn't be out inspecting for storm damage",quality_assurance,high
quality,"INTEGRITY  
 QUALITY  
 SIMPLICITY  
  
 
  Adjuster Meeting Outcomes  
General Notes  
• The adjuster is always going to go back to the homeowner before they leave (if they are home), 
explain to them what they found and the next steps. • Always join the adjuster for this conversation to make sure everything is being accurately relayed 
to the homeowner  
• If you are not there, it is an opportunity for the adjuster to blame you if they aren’t approving the 
claim  
• It is also a great opportunity to back up the adjuster on anything they are trying to explain to the homeowner  
• Adjusters really appreciat e this  
• Have to remember that these guys aren’t sales people and may not be the best at handling homeowners/ explaining the process. Approved  
• Reminders  
o Two most important things to prep the homeowner on when you know they are getting an 
approval",quality_assurance,high
quality,"[Slide 21]
The Sales Cycle:Install and Final Payment
The install will typically be scheduled in 4 – 6 weeks from the time that the Homeowner submits Downpayment
After the install is complete, we will schedule a Quality Check and Wrap Up with the homeowner. They will sign the Certificate of Completion here and we will submit this to the insurance company
The insurance company will then release the remaining funds. They call this payment Depreciation",quality_assurance,high
insurance,"Congratulations, I am glad we were able to ensure that your insurance company fully approved your roof/siding/gutters/etc replacement!
“So the next steps are, as I mentioned last time we met:
“One of our Project Coordinators will be reaching out to you to schedule a Project Meeting to go over your full scope of work. “Based on the estimate, your insurance company will be sending you [ACV AMOUNT] shortly. This will be used as your down payment",insurance_related,high
insurance,"How’s it going?”
“Great, well we just received the decision from the insurance company. We’re going to have to take some steps to get this turned around. I have already submitted my photo report that demonstrates the damage to your property and the need to replace your whole roof, so hopefully they review and approve that",insurance_related,high
insurance,Insurance companies don’t want to pay out. They are trying to mitigate their losses after storms. I am there as your representation to make sure you get a fair shake,insurance_related,high
insurance,"Within a few days you should receive the itemized estimate from the Insurance Company. Once you receive that, you can forward that to me. This is going to include every line item that the insurance company believes is needed to make you whole again",insurance_related,high
insurance,"Claim Filing Information Sheet  
You should use this information to prep the HO – Use a blank note on your iPad
HO: “I’d like to file a claim for hail [and wind] damage” (never only wind)
Insurance: “What was damaged?”
Roof
Downspouts
Gutters
Window Wraps
Siding
Etc. Date of loss
Time of storm (usually around 5pm)
Size of hail (usually 1 – 1. 5 inches)
Type of shingle and/or siding
Any interior damage?
Is the house livable?
Was there any personal property damaged?
Did they lose power?
Have you selected a contractor? (yes, we want them to know ASAP that you are working with me)
Do they have an estimate? (always no)
Is your roof steeper than an average staircase?
How high is the roof/is it difficult to access with most ladders?
Things they should do on the call:
Ask for adjuster info, if not available yet, that’s okay too",insurance_related,high
insurance,"“Hi, how are you? My Name is ________ with Roof- ER we’re a local roofing company that specializes in helping homeowners get their roof (and siding) replaced, paid for by their insurance!”  
Generic:
“We’ve had a lot of storms here in Northern Virginia/Philadelphia/Maryland over the past few months that have done a lot of damage! 
“We’re already working with your neighbors. We’ve been able to help them get fully approved through their insurance company to have their roof  and/or siding replaced. ”
 (Go to line marked with ^)
		-OR-
Specific
“Were you home for the storm we had in ___",insurance_related,high
insurance,"That is why your insurance company is responsible and your policy covers this type of damage. ” 
Start slowly swiping through all the pictures of hail. “As you can see there is quite a bit of damage",insurance_related,high
insurance,"Use this template to Send to the Adjuster/Insurance when requesting a copy of an estimate 
PLEASE REVIEW AND MAKE EDITS TO MAKE SURE THIS EMAIL FITS YOUR SPECIFIC SITUATION BEFORE YOU SEND IT 
PLEASE ATTACH CLAIM AUTHORIZATION AND MAKE SURE TO INCLUDE CLAIM # IN SUBJECT LINE
EDIT THE INFO TO ALIGN WITH YOUR SPECIFIC JOB!!!! PLEASE DELETE ALL INSTRUCTIONS BEFORE SENDING THIS TO YOUR HOMEOWNER. EVERYTHING IN THE BRACKETS [ ] SHOULD BE DELETED BEFORE SENDING
Hello!
This is [REP NAME]  with Roof-ER. We are assisting [CUSTOMER’S NAME] with the claim referenced above",insurance_related,high
insurance,"[Sheet: Sheet1]
Name | Insurance/Inspection Company | Inspector or Adjuster? | Hover required? (Y/N) | Mark roof prior? (Y/N) | Notes on Adjuster/Inspector |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Christian Ballester | USAA/Progressive/Liberty | Adjuster | Y | Y | Always looking to buy. Appreciates when the roof/siding/exterior is already marked up. Get Hover ESX file so he can write estimate easily |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Badou Hadidane | USAA | Adjuster | N | N | Terrible",insurance_related,high
insurance,"Let me know what they need from us, usually it’s a waiver of lien, our W-9 and a copy of our license”  
o “Do you have any questions at all?”  
o “Okay great! Congrats again and I will be on the lookout for that estimate!  
 

 
 
INTEGRITY  
 QUALITY  
 SIMPLICITY  
Deni ed: Reinspection  
• Reminders  
o Only push the homeowner for a reinspection if you feel strongly about the storm damage  
o Ensure you have enough photos documented so that insurance will grant the reinspection  
o Follow up with h/o until payment received -  move to re inspection once received (or 
support will have already done this)  
o Support will create damage report, order EV, write Est  
o Those items with a reinspection request template will be sent to homeowner who can then 
send to insurance  
• Script  
o  “So unfortunately, ________ is not approving the roof/siding. We could not agree on any 
of the damage. He is trying to say that all of the damage I found is normal wear and tear”",insurance_related,high
insurance,"[Slide 1]
Roof-ER Sales Training
Welcome:
Miguel O’Campo
Aubrey Kanu
Pat Mulford
Edward Compere



[Slide 2]
Google Drive

[Slide 3]
Initial Pitch5 Non-Negotiables
Who you are
Who we are and what we do (Roof ER)
Make it relatable
What you’re there to do (an inspection)
Go for the close (them agreeing to the inspection)


[Slide 4]
Initial Pitch
“Hi, how are you? My Name is ________ with Roof- ER we’re a local roofing company that specializes in helping homeowners get their roof replaced, paid for by their insurance!”  
Reach in for handshake (at your discretion)
Non-Storm Environment:
“We’ve had a lot of storms here in Northern Virginia/Maryland over the past few months that have done a lot of damage! 
“We’re working with a lot of your neighbors in the area. We’ve been able to help them get fully approved through their insurance company to have their roof  replaced. ”


[Slide 5]
Initial Pitch
“While I’m here, in the neighborhood, I am conducting a completely free inspection to see if you have similar, qualifiable damage",insurance_related,high
claim,"But, of course, insurance companies are billion dollar, publicly traded companies that will try to save as much money as they can on every claim. That is why it is great that you are working with us since we know the proper steps to ensure that you are adequately taken care of by your insurance company!”
Answer any questions or concerns the HO has. “Alright, so let me know how the phone call goes with your adjuster and I’ll start working on my end to put everything together to get this turned around",insurance_related,high
claim,"Contingency & Claim Authorization
After the claim: “Okay, perfect! Like they said, an adjuster will be reaching out to you in the next 24 to 48 hours to schedule the inspection. The absolute most important part of this process is that I am at this inspection. Insurance companies don’t want to pay out",insurance_related,high
claim,"“A great way for me to help assist some of your neighbors, would be if I could put up a yard sign! Would you mind if I put one up? Thank you, sir/ma’am!”
Submit your Photo Report and Claim Authorization to the adjuster with an effective email. Use Post-AM-Email-Template if you need to. If moving to Decision Pending:
“So, we just finished our inspection",insurance_related,high
claim,"Claim Filing Information Sheet  
You should use this information to prep the HO – Use a blank note on your iPad
HO: “I’d like to file a claim for hail [and wind] damage” (never only wind)
Insurance: “What was damaged?”
Roof
Downspouts
Gutters
Window Wraps
Siding
Etc. Date of loss
Time of storm (usually around 5pm)
Size of hail (usually 1 – 1. 5 inches)
Type of shingle and/or siding
Any interior damage?
Is the house livable?
Was there any personal property damaged?
Did they lose power?
Have you selected a contractor? (yes, we want them to know ASAP that you are working with me)
Do they have an estimate? (always no)
Is your roof steeper than an average staircase?
How high is the roof/is it difficult to access with most ladders?
Things they should do on the call:
Ask for adjuster info, if not available yet, that’s okay too",insurance_related,high
claim,"It doesn’t  matter how quickly you are able to complete the inspection if you don’t have enough damage-photos for  the homeowner to be on board with filing the claim. §Flashlight
 \
Post-Inspection Pitch
Knock on the door 
“Hey _______, so I have a bunch of photos to show you. First I walked around the perimeter of the house  to look for collateral damage",insurance_related,high
claim,"Use this template to Send to the Adjuster/Insurance when requesting a copy of an estimate 
PLEASE REVIEW AND MAKE EDITS TO MAKE SURE THIS EMAIL FITS YOUR SPECIFIC SITUATION BEFORE YOU SEND IT 
PLEASE ATTACH CLAIM AUTHORIZATION AND MAKE SURE TO INCLUDE CLAIM # IN SUBJECT LINE
EDIT THE INFO TO ALIGN WITH YOUR SPECIFIC JOB!!!! PLEASE DELETE ALL INSTRUCTIONS BEFORE SENDING THIS TO YOUR HOMEOWNER. EVERYTHING IN THE BRACKETS [ ] SHOULD BE DELETED BEFORE SENDING
Hello!
This is [REP NAME]  with Roof-ER. We are assisting [CUSTOMER’S NAME] with the claim referenced above",insurance_related,high
claim,Try to get HO to call to get this claim reassigned instead. Spends 10 minutes on the roof and gets off not looking to buy. Most of the time will deny it and you will need to get the reinspection,insurance_related,high
claim,"• Always join the adjuster for this conversation to make sure everything is being accurately relayed 
to the homeowner  
• If you are not there, it is an opportunity for the adjuster to blame you if they aren’t approving the 
claim  
• It is also a great opportunity to back up the adjuster on anything they are trying to explain to the homeowner  
• Adjusters really appreciat e this  
• Have to remember that these guys aren’t sales people and may not be the best at handling homeowners/ explaining the process. Approved  
• Reminders  
o Two most important things to prep the homeowner on when you know they are getting an 
approval. o Suppleme nt process (This gives us value moving forward)  
o Mortgage Company  
• Script  
o “Congrats ________ “!  
o Reiterate what the adjuster told them they are approving  
o “As you know they are still going to try and mitigate their loss by writing a low estimate",insurance_related,high
claim,"It doesn’t  matter how quickly you are able to complete the inspection if you don’t have enough damage-photos for  the homeowner to be on board with filing the claim. Flashlight

[Slide 30]
Post-Inspection Pitch
Knock on the door 
“Hey _______, so I have a bunch of photos to show you. First I walked around the perimeter of the house  to look for collateral damage",insurance_related,high
money,"But, of course, insurance companies are billion dollar, publicly traded companies that will try to save as much money as they can on every claim. That is why it is great that you are working with us since we know the proper steps to ensure that you are adequately taken care of by your insurance company!”
Answer any questions or concerns the HO has. “Alright, so let me know how the phone call goes with your adjuster and I’ll start working on my end to put everything together to get this turned around",financial,high
money,"As I’ve mentioned, insurance companies are always trying to save money. We usually find specific line items that are missing. Most commonly, code items like IWS and Drip Edge",financial,high
money,"It’s unfortunate but that’s how they make money. The most important part of this process is that when your insurance company comes out to run their inspection, we are here as storm experts to make sure you as a homeowner get a fair shake. If they are missing anything we make sure they see all the damage that I  just showed you",financial,high
money,"Might be a waste of time and money giving him the Hover report. Do not supplement his approvals  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Vicki Henry | Homesite (Afics) | Adjuster | Y | Y | Very easy to work with. Will use a ladder assist but buys most of the time if the roof is marked up well and damage makes sense",financial,high
money,"What are the next 2 sentences after they agree to let you do the inspection?
What is the last sentence of the Initial Pitch Script?

[Slide 9]
Field Portal App
The Field Portal App will be used mostly on your phone (but is also useable on your iPad)
Later on this week, we will review using the Field Portal App on a laptop or desktop which is the most ideal way to keep your jobs organized
On the Field Portal App, you can:
Track your jobs and what stage they are in
Review Metrics
Pin houses and create leads
Create and upload your Photo reports
Schedule customer-related events
Review Tasks and Messages
Check the Trade Calendar to see when your installs are going up

[Slide 10]
Field Portal App
Pinning Houses

[Slide 11]
Field Portal App
Turning Pin into a Lead




Only when inspection scheduled

[Slide 12]
Objections
Common Objections
“not interested”
“I don’t have enough time”
“my roof is in good shape”
“I just had it checked”
“I don’t have the money for anything right now”
“I have a roofer knock my door at least 5 times a week”
“my roof is only 18 years old and is a 50 year roof”
Tips:
Always react positively with an agreeable response and attitude
Ask questions when appropriate
Repeat the customers’ objections when appropriate

[Slide 13]
Initial Pitch
Work in groups – try to see how much you have memorized

[Slide 14]
Initial Pitch
Please memorize the whole initial pitch in a Non-Storm Environment
Please also be familiar with the Storm Environment Pitch

[Slide 15]
Shingles

[Slide 16]
Discontinued Shingles

[Slide 17]
The Sales Cycle:Generating New Business
KNOCK KNOCK KNOCK
Make it a goal to knock 70 doors minimum per day
Pin the houses
Take good (quick) notes
KNOCK SOME MORE

[Slide 18]
The Sales Cycle:Inspections
Conduct the inspection in the order of the inspection
Think about safety
If you do not feel safe, DO NOT DO THE INSPECTION
Always ensure ladder is safely placed
Safety items you should consider:
Cougar Paws (Get this before anything else)
Bungee Cords
Pitch Hopper
Other roofing items – reach out to discuss additional safety items



[Slide 19]
The Sales Cycle:Adjuster Meeting
Adjuster meeting typically happens within 2 – 7 days
You meet with the insurance adjuster
You will also be creating your formal photo report this day
The decision from the insurance company usually comes within 1 – 10 business days
Once a decision is made, they usually only send the estimate to the homeowner
Ensure the homeowner is prepped to send this to you if the insurance company does not send it to you
Don’t worry – we will review this in much more detail later – we just want to ensure you understand the timeline at this point

[Slide 20]
The Sales Cycle:Project Meeting
After you send the estimate to Amber (estimates@theroofdocs. com) and to me, we will begin to review the estimate and conduct what is called a Project Review
Within a few days, the job will be assigned to one of our Project Coordinators who will schedule a Project Meeting with your homeowner
This typically happens within a week of receiving the estimate
After that meeting, the homeowner will sign the Project Documents and submit Downpayment. The Downpayment will typically be the first payment the insurance company sends",financial,high
guarantee,"“This basic/simple agreement backs you as the homeowner by guaranteeing you that your only cost will be your deductible if we get you fully approved. If it is a partial approval or denial, first we will fight and jump through the necessary hoops to turn that into a full approval; but if we are not able to get you fully approved, this contract is null and void and you do not owe us a penny. ”
“What’s in it for us, is we just want to get to do the work",general,high
guarantee,"Don’t worry, like we have agreed to from the beginning, we guarantee you that you would not have to cover any of these costs even if the insurance company were to deny our supplement. [Which does not happen. ]
“Once our office has completed your job review, which takes 2 - 3 business days, your job will be assigned to one of our Project Coordinators",general,high
guarantee,"[Slide 49]
Contingency & Claim Authorization Script
“This basic/simple agreement backs you as the homeowner by guaranteeing you that your only cost will be your deductible if we get you fully approved. If it is a partial approval or denial, first we will fight and jump through the necessary hoops to turn that into a full approval; but if we are not able to get you fully approved, this contract is null and void and you do not owe us a penny. “What’s in it for us, is we just want to get to do the work",general,high
price,"*Of course if you have anything else you would like us to do beyond the insurance approval, your Project Coordinator could price that out for you. *
“Your install date will typically be 4 - 6 weeks after your Project Meeting. After you submit that initial payment from the insurance company, we’ll reach out to get your project scheduled!
“I know that was a lot of information",general,high
price,"By committing to our core values of Integrity, Quality, and Simplicity, we promise to deliver an experience every homeowner wants when remodeling their home: a simple and straightforward quality installation for a fair and honest price. Our Core Values:
Integrity: At Roof-ER, we set the standard for Integrity in an industry that has lost credibility among many consumers. We do not only set the standard of integrity with our clients, but it starts with being honest to ourselves",general,high
workmanship,"In an industry known for poor workmanship, lack of communication, and at times, outright deceit; we seek to restore the name of exterior remodeling contractors nationwide. By committing to our core values of Integrity, Quality, and Simplicity, we promise to deliver an experience every homeowner wants when remodeling their home: a simple and straightforward quality installation for a fair and honest price. Our Core Values:
Integrity: At Roof-ER, we set the standard for Integrity in an industry that has lost credibility among many consumers",quality_assurance,high
